src_ip,dst_ip,rtt
142.250.70.98,192.168.182.221,0.073782
142.250.70.98,192.168.182.221,0.041394
142.250.70.98,192.168.182.221,45.092335
172.217.131.167,192.168.182.221,0.324287
172.217.166.163,192.168.182.221,0.314644
18.66.112.50,192.168.182.221,0.229008
182.161.73.146,192.168.182.221,0.134700
182.161.73.146,192.168.182.221,0.007969
182.161.73.146,192.168.182.221,0.150186
182.161.73.146,192.168.182.221,0.008651
182.161.73.146,192.168.182.221,0.000810
182.161.73.146,192.168.182.221,0.346493
182.161.73.146,192.168.182.221,9.706993
182.161.73.146,192.168.182.221,0.001633
182.161.73.146,192.168.182.221,0.144977
185.184.8.90,192.168.182.221,0.345965
185.184.8.90,192.168.182.221,0.136968
185.184.8.90,192.168.182.221,0.019250
185.184.8.90,192.168.182.221,0.005933
185.184.8.90,192.168.182.221,0.004089
185.184.8.90,192.168.182.221,0.154056
185.184.8.90,192.168.182.221,0.003908
185.184.8.90,192.168.182.221,0.003004
185.184.8.90,192.168.182.221,0.002359
185.184.8.90,192.168.182.221,0.317440
185.184.8.90,192.168.182.221,0.004308
185.184.8.90,192.168.182.221,0.000923
185.184.8.90,192.168.182.221,0.052837
185.184.8.90,192.168.182.221,0.175276
185.84.60.23,192.168.182.221,0.273630
185.84.60.23,192.168.182.221,0.005028
185.84.60.23,192.168.182.221,0.004232
185.84.60.23,192.168.182.221,0.000549
185.84.60.23,192.168.182.221,0.017888
185.84.60.23,192.168.182.221,1.845373
185.84.60.23,192.168.182.221,0.691543
185.84.60.23,192.168.182.221,0.598850
185.84.60.23,192.168.182.221,0.688015
192.168.182.221,103.43.90.19,0.004313
192.168.182.221,103.43.90.19,0.221208
192.168.182.221,103.43.90.19,0.001100
192.168.182.221,103.43.90.19,0.001498
192.168.182.221,103.43.90.19,0.001549
192.168.182.221,103.43.90.19,0.171676
192.168.182.221,103.43.90.19,0.000432
192.168.182.221,103.43.90.19,0.003023
192.168.182.221,103.43.90.19,0.001050
192.168.182.221,103.43.90.19,0.000868
192.168.182.221,103.43.90.19,0.000425
192.168.182.221,103.43.90.19,0.000431
192.168.182.221,103.43.90.19,0.000230
192.168.182.221,103.43.90.19,0.008146
192.168.182.221,103.43.90.19,0.134592
192.168.182.221,103.43.90.19,0.000280
192.168.182.221,103.43.90.19,0.001906
192.168.182.221,103.43.90.19,0.001779
192.168.182.221,103.43.90.19,0.002542
